Owner,question,ideal_answer,answer,blue score,METEOR score,ROUGE score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Michael,What is Spectrum Scale?,IBM Spectrum Scale is flexible software-defined storage that can be deployed as high performance file storage or a cost optimized large-scale content repository. IBM Spectrum Scale is deployed at the most demanding enterprises in the world for both high performance and high scale.,IBM Spectrum Scale in containers (IBM Spectrum Scale Container Native Storage Access),1.9559137651767587e-78,0.012048193,0.0,0.36915204678362573,0.2807017543859649,0.7381381,18,32.58602611090628,-0.35665345191955566,0.30769230769230765,0.6317981460264751
Michael,"What are Developer and Administrator perspectives in the OpenShift UI?
","The Developer perspective provides specific workflows related to the developer use case, like: Creating and deploying applications by importing existing codebases, images, and dockerfiles; visually interacting with applications and components within a project and monitoring their deployment and build status; grouping components within an application and across applications; and integrating serverless capabilities. The Administrator perspective in the OpenShift cluster is responsible for managing the cluster resources, users, and projects. ","Creating and deploying applications by importing existing codebases, images, and dockerfiles Visually interacting with applications and components within a project and monitoring their deployment and build status Grouping components within an application and across applications Integrating serverless capabilities",0.3946355006029137,0.01369863,0.025641026,0.8603764204545454,0.7102803738317757,0.50786537,8,43.83184151812065,0.29450786113739014,0.7346938775510204,0.8487127261857191
Michael,When was OpenShift first launched?,OpenShift was first launched in 2011 and relied on Linux containers to deploy and run user applications.,unanswerable... . .,8.844844403089351e-232,0.058139535,0.076923077,0.0925925925925926,0.0,0.08942011,34,17.999999999999996,-0.7124286890029907,0.0,0.44312890039549935
Michael,What is Instana?," Instana’s software is intended particularly for use in monitoring and managing the performance and software used in microservice architectures and permits 3D visualisation of performance through graphs generated using machine learning algorithms, with notifications regarding performance also generated automatically. Instana agents are available for both standalone VM’s and cluster environments such as Kubernetes cluster, or an OpenShift Cluster. ",observability backend that can be used for analyzing the telemetry data to help teams to understand an applications performance and behavior,2.884667125723794e-155,0.008278146,0.0,0.1568627450980392,0.14814814814814817,0.35958287,25,50.46688726049675,-0.6521087884902954,0.10666666666666667,0.5535649955272675
Michael,Does IBM have tools for computer vision?,"IBM Maximo Visual Inspection (MVI), part of Maximo Application Suite,  provides an intuitive toolset that empowers subject-matter experts to label, train, and deploy computer vision models without coding or data science expertise. Model deployment is easy and flexible, leveraging phones or edge devices at scale. This powerful, user-friendly technology is a complete end-to-end solution for injecting automation intelligence into manufacturing quality, and delivers detect and correct capability at the point of installation.","IBM Maximo Visual Inspection (MVI), part of Maximo Application Suite, puts computer vision and deep learning AI models into the hands of business users",0.1701438489117393,0.01305483,0.023529412,0.5912563438073642,0.36,0.8643136,18,60.788606368996284,-0.45714855194091797,0.34782608695652173,0.7801649493555869
Michael,Can I run MVI in AWS?,"In AWS cloud, MVI can be installed in a virtual private cloud running on the Red Hat OpenShift Container Platform (on Amazon EC2 instances) across multiple availability zones providing high availability.","yes, it can be installed in a virtual private cloud running on the Red Hat OpenShift Container Platform (on Amazon EC2 instances) across multiple availability zones providing high availability",0.8276588812691381,0.015384615,0.0,0.9286549707602338,0.9,0.72970766,7,31.06795089174442,0.5050054788589478,0.8928571428571429,0.8897494265011379
Michael,Can Watson Speech to Text be customized?,The IBM Watson® Speech to Text service offers a customization interface that you can use to augment its speech recognition capabilities. You can use customization to improve the accuracy of speech recognition requests by customizing a base model for your domain and audio.,"Yes, it can be customized. It is a service that can be customized.",1.1441414120472538e-231,0.036144578,0.038461538,0.2645502645502646,0.25000000000000006,0.37067032,23,37.16585523889802,-0.5134525895118713,0.15686274509803919,0.5162939801812172
Michael,What AI capabilities are included in Watson Libraries for Embed?,"With Watson Libraries, IBM introduces a common library framework for natural language processing (NLP), speech, document understanding, translation, and trust.","NLP tasks, including sentiment analysis, phrase extraction, and speech recognition",4.452250377698693e-155,0.019083969,0.0,0.2940613026819923,0.2,0.5236823,25,20.89779019964806,-0.3117469549179077,0.20689655172413793,0.6672454263482775
Michael,"What is watson knowledge catalog?
","IBM Watson® Knowledge Catalog is a data catalog tool that powers intelligent, self-service discovery of data, models and more. The cloud-based enterprise metadata repository activates information for AI, machine learning (ML) and deep learning supported by active metadata. Access, curate, categorize and share data, knowledge assets and their relationships, wherever they reside.",a data catalog that serves as a single version of the truth for different users,1.0166076328513733e-78,0.008532423,0.0,0.17587939698492464,0.20289855072463767,0.4891596,27,52.53096240744029,-0.6905566453933716,0.16129032258064516,0.5564752538998922
Michael,Can I run Cloud Pak for Data on prem?,"You can run Cloud Pak for Data on your private, on-premises cluster. If most of your enterprise data lives behind your firewall, it makes sense to put the applications that access your data behind your firewall to prevent accidentally sharing your data.","yes, it runs exclusively on OpenShift",2.9104486616123448e-155,0.035377358,0.076923077,0.28956422018348627,0.12244897959183673,0.2716445,24,42.66404877600979,-0.9668178558349609,0.0851063829787234,0.6416431599193149
